Date,AAPL,MSFT,LLY,NVO,JPM,V,AMZN,TSLA,WMT,COST,BP,EQNR,GE,CAT,LIN,BHP,NEE,SO,PLD,AMT,GOOGL,META
2022-11-07,0.0039,0.0288,0.0212,0.0232,0.0053,0.0157,-0.005,-0.0514,0.0104,0.0044,0.012,0.0055,0.0291,0.0033,0.0147,-0.0047,-0.0193,-0.0242,0.0121,-0.0094,0.0218,0.0633
2022-11-08,0.0042,0.0044,0.0043,-0.0017,0.0006,0.0084,-0.0061,-0.0298,0.0024,0.0086,-0.0176,-0.0257,0.0064,0.0052,0.0039,0.0106,0.0126,0.0093,0.0075,0.0049,0.0046,-0.0026
2022-11-09,-0.0338,-0.0192,-0.0093,-0.0059,-0.0131,-0.0374,-0.0436,-0.0744,-0.0235,-0.0057,-0.0317,-0.0592,-0.0102,-0.0188,-0.0009,-0.0237,-0.0009,-0.008,-0.0088,-0.0098,-0.0179,0.0505
2022-11-10,0.0852,0.0791,0.0149,0.0119,0.0403,0.0583,0.1149,0.0713,0.0205,0.0462,0.019,0.0167,0.0265,0.0302,0.0433,0.0439,0.062,0.0352,0.0841,0.0942,0.0731,0.0976
2022-11-11,0.0191,0.0169,-0.0456,-0.0359,0.0016,-0.0028,0.0421,0.0272,0.0015,0.0046,0.0267,0.0074,0.0108,0.0172,0.0056,0.0642,0.0013,-0.0095,-0.0189,0.0106,0.026,0.0102
2022-11-14,-0.0095,-0.0228,0.0134,0.0262,-0.0103,0.009,-0.0231,-0.0259,-0.0298,-0.0113,-0.0086,-0.0157,-0.0056,0.0,0.0056,0.0058,-0.02,-0.0085,-0.0318,-0.0359,-0.0074,0.0106
2022-11-15,0.0118,0.0017,-0.0173,-0.0069,-0.0073,0.015,0.0046,0.018,0.0633,0.0324,0.0107,0.0401,0.0151,-0.0081,0.0014,0.022,0.0152,0.0207,0.0022,0.0193,0.0282,0.0247
2022-11-16,-0.0084,0.0018,0.0085,-0.0024,0.0014,0.0007,-0.0186,-0.0393,0.0072,-0.0045,0.0018,-0.0307,-0.026,-0.0093,0.0035,-0.0171,0.0169,-0.0009,0.008,-0.002,0.0042,-0.0334
2022-11-17,0.0129,-0.0002,0.022,-0.0041,-0.0044,0.004,-0.0237,-0.0203,-0.0034,-0.0053,0.0111,-0.0029,0.0058,-0.0086,-0.0102,-0.0014,-0.0236,-0.0139,-0.0119,-0.0129,-0.005,-0.0158
2022-11-18,0.0038,-0.0019,0.0025,0.0047,0.0098,-0.0009,-0.0075,-0.0164,0.015,0.0045,-0.0091,-0.0291,0.0011,0.0043,0.0137,0.0024,0.0103,0.0205,0.0198,-0.0019,-0.0095,0.0054
2022-11-21,-0.0219,0.0034,-0.0014,-0.0003,-0.0059,-0.0215,-0.018,-0.0708,0.0061,-0.0006,-0.0271,-0.0044,0.0048,0.0032,-0.0016,-0.0259,0.0048,0.0024,0.0034,0.0183,-0.019,-0.0197
2022-11-22,0.0146,0.0122,-0.0008,0.0172,0.0148,0.0192,0.008,0.0121,0.0036,0.0163,0.0518,0.0503,0.0163,0.0217,0.016,0.026,0.0061,0.0033,0.0072,-0.0081,0.0151,0.0143
2022-11-23,0.0059,0.0104,0.0023,0.021,0.0106,0.0066,0.0099,0.0753,0.0048,0.0048,0.0026,0.0137,0.0065,-0.0014,0.0091,0.0217,0.0146,0.0062,-0.0022,0.0005,0.0144,0.0072
2022-11-25,-0.0198,-0.0004,0.0097,0.0081,0.0019,0.0097,-0.0077,-0.0019,0.0043,-0.0016,0.0083,0.0228,0.0031,-0.0052,0.0045,-0.006,0.0049,0.0083,0.0074,0.0083,-0.0102,-0.0074
2022-11-28,-0.0266,-0.0234,0.0014,0.0203,-0.0176,-0.0119,0.0058,0.0003,0.0029,-0.0051,-0.0154,-0.0164,-0.0308,-0.0145,-0.0197,-0.0118,-0.019,-0.0161,-0.0433,-0.0285,-0.0146,-0.0239
2022-11-29,-0.0214,-0.0059,-0.005,0.001,0.0163,-0.0105,-0.0164,-0.0115,-0.0035,-0.0037,0.0166,0.0387,0.0022,0.0121,-0.0171,0.0306,-0.0149,-0.0017,0.0209,0.0154,-0.009,0.0062
2022-11-30,0.0475,0.0598,0.0194,0.0264,0.0118,0.0373,0.0436,0.0739,-0.0036,0.0193,0.0166,0.0221,0.0036,0.0055,0.0135,0.0322,0.0264,0.0286,0.0344,0.0184,0.0591,0.076
2022-12-01,0.0019,-0.0018,-0.002,0.0122,-0.0141,0.0,-0.0108,0.0,0.0062,-0.0679,-0.005,-0.0097,-0.0083,-0.0031,0.0058,0.0035,0.0015,0.0012,-0.0059,0.0002,0.0,0.0196
2022-12-02,-0.0034,0.0013,0.0119,0.0061,-0.008,0.003,-0.0144,0.0008,-0.001,-0.0187,-0.0101,-0.0331,0.0188,0.0019,0.0003,0.0065,0.0044,-0.0056,-0.0014,-0.0088,-0.0055,0.025
2022-12-05,-0.008,-0.0191,-0.0147,0.0014,-0.0284,-0.0185,-0.0337,-0.0658,-0.0103,-0.0119,-0.0102,-0.012,-0.0259,-0.0152,-0.0092,-0.0151,-0.0006,0.0021,-0.0232,-0.0173,-0.0096,-0.0086
2022-12-06,-0.0257,-0.0205,-0.002,-0.0102,0.0017,-0.0218,-0.0308,-0.0145,-0.0117,-0.0155,-0.0182,-0.013,0.0073,-0.0186,-0.0083,0.0042,0.0004,0.0147,0.003,-0.0144,-0.0255,-0.0703
2022-12-07,-0.0139,-0.0031,0.0093,-0.0044,-0.0007,-0.0061,0.0024,-0.0327,-0.0052,0.0017,-0.0135,0.0008,-0.0033,0.003,-0.0003,-0.0046,0.0013,0.0003,0.0121,-0.0067,-0.0213,-0.0017
2022-12-08,0.0121,0.0123,-0.0005,0.0202,0.0104,0.0062,0.0211,-0.0035,0.0015,-0.0011,0.0006,0.0006,-0.0162,0.0084,0.0097,0.0162,0.0055,0.0026,0.0137,0.0054,-0.013,0.0122
2022-12-09,-0.0034,-0.008,-0.0295,0.0087,-0.0054,-0.0019,-0.014,0.0318,-0.0236,0.0033,-0.0065,-0.0106,-0.0264,-0.0158,-0.0073,0.008,-0.0147,-0.0047,-0.0109,0.0075,-0.0094,0.0049
2022-12-12,0.0163,0.0285,0.0172,0.007,0.0154,0.0278,0.0163,-0.0648,0.0185,0.0096,0.0115,0.0156,0.0214,0.0251,0.0115,-0.014,0.0239,0.0383,0.0146,0.0094,0.0052,-0.0103
2022-12-13,0.0068,0.0173,-0.0237,0.0231,-0.001,-0.0072,0.0212,-0.0418,-0.0036,0.0011,0.0263,0.0454,-0.004,0.0104,0.0189,0.0043,0.0069,0.0025,0.0256,0.0342,0.0246,0.0463
2022-12-14,-0.0157,0.0012,0.0134,0.0141,-0.005,0.0013,-0.0099,-0.0261,-0.0056,-0.0096,-0.006,-0.0208,-0.0162,-0.0043,-0.0013,-0.0151,-0.0011,-0.0014,0.004,-0.016,-0.0059,0.0119
2022-12-15,-0.048,-0.0324,-0.0096,-0.0077,-0.0251,-0.0257,-0.0348,0.0055,-0.009,-0.0414,-0.0151,-0.0032,-0.0332,-0.0164,-0.0333,-0.0119,-0.0143,-0.0105,-0.0249,-0.0074,-0.0453,-0.0458
2022-12-16,-0.0147,-0.0175,-0.0004,-0.0037,-0.0062,-0.0049,-0.0067,-0.0483,-0.0181,-0.0053,-0.0177,-0.0241,-0.0148,0.0089,-0.0035,-0.008,-0.0197,-0.0134,-0.0483,-0.0221,-0.0066,0.0278
2022-12-19,-0.016,-0.0175,-0.0058,-0.0195,0.0059,-0.0101,-0.034,-0.0024,0.0004,-0.0061,0.008,0.005,0.0053,-0.0018,-0.0079,-0.0059,-0.0074,-0.0075,-0.0015,-0.0181,-0.0204,-0.0423
2022-12-20,-0.0005,0.0056,0.0052,0.012,0.0048,0.0026,0.0032,-0.084,0.0087,-0.0018,0.0038,0.0052,0.0287,0.0122,0.0057,0.0118,0.0,0.0081,0.001,-0.0044,0.0065,0.0225
2022-12-21,0.0235,0.0108,0.023,0.0023,0.0112,0.007,0.0184,-0.0017,0.0078,0.0092,0.0275,0.0185,0.0325,0.0276,-0.0008,0.018,0.0134,0.018,0.0156,0.0091,0.0063,0.0225
2022-12-22,-0.0241,-0.0259,-0.0074,0.0085,-0.0114,-0.0085,-0.0349,-0.093,-0.0118,-0.0073,-0.0179,-0.0116,-0.0147,-0.0175,-0.0031,-0.0202,-0.0156,0.0004,-0.0059,0.0,-0.0205,-0.0223
2022-12-23,-0.0028,0.0023,0.0071,0.0028,0.0047,0.0037,0.0173,-0.0177,0.002,0.0086,0.0173,0.0084,0.0002,0.0098,0.0051,0.0104,0.0099,0.0138,0.0031,0.0087,0.0166,0.0078
2022-12-27,-0.014,-0.0074,-0.0082,-0.0056,0.0035,0.0022,-0.0263,-0.1211,0.0003,-0.009,0.0009,0.003,0.0128,0.0135,-0.0012,0.0111,-0.002,0.0074,-0.0029,0.0,-0.0208,-0.0099
2022-12-28,-0.0312,-0.0103,0.0009,0.0022,0.0055,-0.0063,-0.0148,0.0326,-0.0177,-0.0121,-0.0132,-0.0232,-0.0106,-0.0156,-0.0093,-0.0161,-0.0101,-0.0086,-0.0254,-0.0038,-0.0158,-0.0108
2022-12-29,0.0279,0.0273,0.0049,0.0123,0.0057,0.0149,0.0284,0.0777,0.0061,0.0078,0.0035,-0.0028,0.0215,0.0034,0.0117,0.0081,0.011,0.0075,0.0314,0.0265,0.0279,0.0393
2022-12-30,0.0025,-0.0049,-0.0032,0.001,0.0066,-0.0014,-0.0021,0.0111,-0.0025,-0.0001,0.0066,-0.0103,0.0005,-0.0027,-0.0109,-0.0031,-0.0057,-0.0109,-0.0109,-0.0181,-0.0025,0.0007
2023-01-03,-0.0381,-0.001,-0.0023,0.0119,0.0076,-0.0018,0.0214,-0.1306,0.0127,-0.0071,-0.0176,-0.0939,0.0141,-0.0028,-0.0243,-0.0105,0.0027,0.0068,-0.0004,0.0132,0.01,0.0359
2023-01-04,0.0103,-0.0447,-0.0052,-0.0014,0.0093,0.0249,-0.008,0.05,0.0011,0.0072,-0.0159,-0.023,0.0566,0.0103,-0.005,0.0221,0.0078,0.0084,0.0372,0.02,-0.0117,0.0209
2023-01-05,-0.0107,-0.0301,-0.0116,-0.0038,-0.0002,-0.0071,-0.024,-0.0295,-0.0034,-0.0141,0.0035,0.0134,0.0154,-0.0045,-0.0363,0.0089,-0.0223,-0.0298,-0.0358,-0.0319,-0.0216,-0.0034
2023-01-06,0.0361,0.0117,0.0111,0.0174,0.019,0.031,0.035,0.0244,0.0242,0.0701,0.0164,-0.0134,0.0091,0.0351,0.0343,0.0419,0.0123,0.0176,0.0331,0.0296,0.0131,0.024
2023-01-09,0.0041,0.0097,-0.0368,-0.0102,-0.0041,0.0039,0.0148,0.0577,-0.0125,-0.0086,0.009,0.0109,0.0101,-0.009,0.0181,-0.0064,0.005,-0.0018,-0.0051,0.0037,0.0078,-0.0042
2023-01-10,0.0044,0.0076,0.0083,-0.0264,0.0089,0.0113,0.0283,-0.0077,-0.0006,0.0055,0.0023,-0.0045,0.0352,0.0157,0.0003,0.0175,0.0056,-0.0055,-0.0001,0.012,0.0045,0.0268
2023-01-11,0.0209,0.0298,0.0215,-0.0081,0.0074,0.0046,0.0565,0.0361,0.0087,0.006,0.0054,-0.0103,0.0316,0.0009,0.0233,0.0078,0.0054,0.0063,0.0414,0.0274,0.0345,-0.0008
2023-01-12,-0.0006,0.0116,-0.0036,0.0078,-0.001,0.0068,0.0019,0.0028,-0.0091,-0.0039,0.0077,0.0196,0.0149,0.0172,-0.0022,0.0248,0.0008,-0.0172,0.0096,0.0178,-0.0043,0.0283
2023-01-13,0.0101,0.003,0.0069,0.02,0.0249,-0.0025,0.0295,-0.0094,0.0033,0.0058,0.0071,-0.001,0.0168,0.0132,0.0157,0.0042,-0.0046,-0.0003,-0.0018,0.0026,0.0108,0.002
2023-01-17,0.0087,0.0047,-0.0108,0.0193,-0.0156,-0.0003,-0.0213,0.0716,-0.0061,0.0031,0.0036,-0.0086,0.0036,-0.0085,-0.0124,-0.0222,0.0124,-0.0038,-0.0039,-0.0076,-0.0091,-0.0119
2023-01-18,-0.0054,-0.0191,-0.0161,0.0056,-0.0305,-0.016,-0.0062,-0.0208,-0.025,-0.0151,-0.0099,-0.011,-0.0153,-0.0135,-0.0173,0.0044,-0.0229,-0.0338,0.0101,-0.0257,-0.0019,-0.0174
2023-01-19,0.0004,-0.0166,-0.0026,0.0064,-0.0134,0.0043,-0.0188,-0.0126,-0.0144,-0.021,0.0056,0.0074,-0.0309,-0.0236,0.0006,0.012,-0.0145,-0.0189,-0.0112,-0.0082,0.021,0.0233
2023-01-20,0.019,0.0351,-0.0144,0.0031,0.0024,0.0175,0.0374,0.048,0.0122,0.0224,-0.0011,0.0087,0.0106,0.016,0.0125,0.0084,-0.0094,0.01,0.0125,-0.0087,0.052,0.0234
2023-01-23,0.0232,0.0098,-0.0112,-0.0001,0.0161,-0.0006,0.0028,0.0746,0.0148,0.0257,0.0023,-0.0074,0.0265,0.0119,-0.0065,-0.0012,0.0103,-0.0039,0.0261,-0.0263,0.0179,0.0276
2023-01-24,0.01,-0.0022,0.0121,-0.0084,0.0086,-0.0013,-0.0124,0.001,0.0027,-0.001,-0.0082,-0.0162,0.0116,0.0192,0.0065,0.0055,0.0148,-0.0024,0.0026,-0.0023,-0.0212,-0.0009
2023-01-25,-0.0047,-0.0059,0.0096,-0.0072,0.0048,0.0045,0.0089,0.0037,-0.0048,-0.0025,-0.0014,-0.0165,0.0011,0.0032,-0.0069,0.0142,-0.0912,0.0084,-0.0056,0.0161,-0.0257,-0.0115
2023-01-26,0.0147,0.0303,-0.0049,-0.0098,0.0062,-0.0008,0.0208,0.1041,-0.0009,0.015,0.0283,0.0112,0.0043,0.0141,0.0096,0.0068,-0.0025,0.0039,0.0187,0.0108,0.0239,0.0402
2023-01-27,0.0136,0.0006,-0.0171,0.004,0.0024,0.0295,0.03,0.1044,0.0076,0.01,0.0019,-0.0013,0.0254,0.0092,-0.0147,-0.0193,-0.0108,0.0071,0.0138,-0.0011,0.0188,0.0297
