Date,AAPL,MSFT,LLY,NVO,JPM,V,AMZN,TSLA,WMT,COST,BP,EQNR,GE,CAT,LIN,BHP,NEE,SO,PLD,AMT,GOOGL,META
2023-11-06,0.0145,0.0105,0.0471,0.0292,0.0075,-0.0005,0.0082,-0.0031,0.0013,0.0158,0.0028,0.0021,0.0259,-0.0103,0.0012,-0.0017,-0.0057,-0.0166,-0.0153,-0.0205,0.0089,0.0038
2023-11-07,0.0143,0.0112,0.0079,0.006,-0.0005,0.0052,0.021,0.0132,0.0047,0.0025,-0.0231,-0.0324,0.0002,-0.0142,-0.0095,-0.0256,-0.0099,-0.0074,-0.0067,-0.0067,0.0055,0.0095
2023-11-08,0.0059,0.0074,0.0315,0.0007,0.0049,-0.0014,-0.0044,-0.0003,-0.0082,-0.0068,-0.0162,-0.0128,0.0182,-0.0004,0.0076,-0.0082,-0.0166,-0.0017,0.0086,-0.0056,0.0066,0.003
2023-11-09,-0.0026,-0.0069,-0.046,-0.0171,-0.003,-0.0094,-0.0105,-0.0562,-0.0023,-0.0073,0.0062,0.0147,-0.0067,-0.0029,-0.0033,0.0042,-0.0496,-0.0082,-0.0178,-0.0141,-0.0122,0.0024
2023-11-10,0.023,0.0246,0.0107,0.0115,0.0147,0.0148,0.0208,0.022,0.0138,0.0243,0.0115,0.026,0.0191,0.0233,0.0224,0.0133,0.0076,0.0009,0.0122,0.0107,0.0179,0.0253
2023-11-13,-0.0086,-0.0081,0.0248,-0.0041,-0.0044,-0.0024,-0.0068,0.0413,0.0089,0.0019,0.0175,0.0123,0.0022,0.0083,-0.0002,0.0055,-0.0117,-0.0112,-0.02,-0.0009,-0.0038,0.0013
2023-11-14,0.0142,0.0097,-0.0012,-0.0158,0.0181,0.0092,0.0223,0.0594,-0.0002,0.0215,0.0042,0.0018,0.0149,0.0253,0.01,0.038,0.0545,0.0274,0.0647,0.056,0.0115,0.0214
2023-11-15,0.003,0.0004,-0.0372,-0.0283,0.0087,0.0047,-0.018,0.0226,0.0126,0.0101,-0.0073,-0.0003,-0.0081,0.0129,-0.0025,-0.0008,-0.0096,-0.0064,0.0107,0.0086,0.0075,-0.0108
2023-11-16,0.009,0.0174,0.0004,0.0316,0.0114,0.0019,-0.0026,-0.0388,-0.0844,-0.031,-0.0161,-0.0321,0.0224,-0.0115,0.0139,-0.0036,-0.007,0.0216,-0.0022,0.0164,0.017,0.0044
2023-11-17,-0.0001,-0.0169,0.005,0.0185,0.009,0.004,0.0163,0.003,-0.0044,-0.0025,0.0167,0.0256,0.0083,0.0194,-0.0012,0.0087,0.0135,0.0029,-0.0018,-0.0069,-0.0119,0.0025
2023-11-20,0.0092,0.0203,0.0099,0.0215,0.0031,0.0016,0.0065,0.0055,-0.0003,0.0063,0.0076,0.0144,0.0012,-0.0104,0.001,0.0114,-0.0005,-0.0047,0.0084,0.0096,0.0069,0.0146
2023-11-21,-0.0042,-0.0116,-0.0084,-0.0078,-0.0021,0.009,-0.0154,0.0235,0.0036,0.006,-0.0039,-0.0089,-0.0015,-0.0042,0.0089,0.0147,0.0111,0.003,-0.0035,-0.0106,0.0053,-0.0088
2023-11-22,0.0035,0.0127,0.0042,0.0047,0.0024,0.0059,0.0193,-0.0294,-0.0077,0.0081,-0.0132,-0.012,-0.0024,-0.0137,-0.0007,-0.0048,-0.0007,-0.0009,0.0084,0.0063,0.011,0.0133
2023-11-24,-0.007,-0.0011,0.01,0.021,0.0014,0.0023,0.0002,0.0053,0.0089,0.0039,0.0155,0.0218,0.0031,0.0055,0.0063,-0.0034,0.0014,0.0003,0.0041,0.0027,-0.0131,-0.0096
2023-11-27,-0.0009,0.0031,-0.016,-0.0151,-0.0023,-0.0006,0.0067,0.0027,0.0045,0.006,0.0033,-0.0037,0.0,0.0001,-0.0034,-0.0114,0.0005,0.0093,-0.0012,0.0094,-0.0021,-0.0105
2023-11-28,0.0032,0.0107,0.0001,-0.0238,0.0023,-0.0047,-0.0047,0.0441,0.0119,-0.0015,0.0,-0.008,-0.0094,0.0004,-0.005,0.0054,0.01,0.0033,0.0021,0.0099,0.0058,0.0127
2023-11-29,-0.0054,-0.0101,0.0004,0.0056,0.0051,0.0051,-0.0048,-0.0105,-0.0163,-0.0104,0.0036,-0.0136,0.0001,0.0078,0.0016,-0.0137,0.0034,-0.0037,0.0083,0.0145,-0.0162,-0.0202
2023-11-30,0.0031,0.0002,-0.0014,-0.0016,0.0113,0.0096,-0.0016,-0.0168,-0.0025,0.0083,0.0061,-0.0069,0.0244,0.0051,0.0058,0.0026,0.0026,0.0106,0.0166,0.0125,-0.0184,-0.0153
